app_id,num_reviews,avg_rating,pct_low_rating,first_review_date,most_recent_review_date
ai.meeting.app,100,4.35,14.0,2025-02-23 14:01:58,2026-02-04 15:39:23
ai.note.notepad.memo.journal.freenote,100,4.83,2.0,2026-01-28 12:54:26,2026-02-05 10:52:47
ai.plaud.android.plaud,100,4.45,11.0,2025-12-16 18:19:43,2026-02-05 11:02:01
ai.turbolearn,100,4.5,8.0,2026-02-03 06:11:17,2026-02-05 11:30:03
app.coconote,100,3.89,25.0,2025-09-12 07:21:22,2026-02-04 18:14:31
com.aisense.otter,100,2.56,60.0,2025-11-20 17:55:03,2026-02-05 06:18:15
com.compasswearable,100,2.84,51.0,2024-11-03 00:30:14,2026-02-04 01:23:16
com.hubx.noteai,100,3.83,24.0,2025-09-18 05:50:54,2026-02-04 06:58:53
com.james.SmartNotepad,100,4.02,17.0,2014-11-23 18:45:48,2025-12-08 19:02:03
com.studocu.app,100,4.42,8.0,2026-01-05 05:00:55,2026-02-04 18:46:15
com.zoho.notebook,100,3.79,23.0,2026-01-06 06:58:01,2026-02-05 03:43:30
notion.id,100,3.81,26.0,2026-01-28 01:59:25,2026-02-05 07:33:54
com.recordpro.audiorecord,30,3.93,16.67,2025-09-09 09:45:35,2026-02-04 22:48:51
com.daily.notes.notepad.checklist,23,3.57,34.78,2024-03-24 06:11:14,2026-01-11 14:40:57
com.pradip.notebookai,3,5.0,0.0,2025-11-06 19:10:57,2026-01-12 19:31:58
