date,daily_num_reviews,daily_avg_rating
2021-11-09,1,5.0
2021-12-25,1,5.0
2023-09-15,1,3.0
2023-09-21,2,4.0
2023-10-13,1,5.0
2023-10-17,1,3.0
2023-10-19,1,5.0
2023-10-27,1,5.0
2023-11-02,1,5.0
2023-11-06,1,5.0
2023-11-07,1,5.0
2023-11-17,1,4.0
2023-11-22,1,2.0
2023-11-26,1,5.0
2023-11-27,1,5.0
2023-12-01,1,5.0
2023-12-02,1,5.0
2023-12-03,2,4.5
2023-12-04,1,4.0
2023-12-09,1,5.0
2023-12-11,1,4.0
2023-12-18,2,5.0
2023-12-30,2,4.0
2024-01-04,1,5.0
2024-01-10,1,5.0
2024-01-23,1,4.0
2024-01-28,1,5.0
2024-01-30,1,5.0
2024-02-02,1,4.0
2024-02-05,2,5.0
2024-02-18,1,5.0
2024-02-25,1,3.0
2024-02-28,1,5.0
2024-02-29,1,4.0
2024-03-02,1,4.0
2024-03-04,1,5.0
2024-03-06,1,5.0
2024-03-07,1,5.0
2024-03-09,1,5.0
2024-03-12,1,5.0
2024-03-15,1,4.0
2024-03-20,1,5.0
2024-03-21,1,4.0
2024-03-22,1,4.0
2024-03-31,1,5.0
2024-04-02,1,5.0
2024-04-07,2,5.0
2024-04-08,1,3.0
2024-04-23,1,5.0
2024-04-25,1,5.0
2024-04-27,1,3.0
2024-05-08,1,5.0
2024-05-21,1,5.0
2024-05-23,1,5.0
2024-06-08,1,5.0
2024-06-17,1,5.0
2024-06-24,2,3.0
2024-07-06,1,5.0
2024-07-07,1,4.0
2024-07-09,1,3.0
2024-07-17,1,5.0
2024-07-24,1,5.0
2024-08-16,1,5.0
2024-08-17,1,3.0
2024-08-31,1,5.0
2024-09-03,1,5.0
2024-09-04,1,5.0
2024-09-05,2,5.0
2024-09-08,1,1.0
2024-09-13,1,2.0
2024-09-14,1,1.0
2024-09-21,1,5.0
2024-09-25,1,5.0
2024-09-26,1,1.0
2024-10-06,1,5.0
2024-10-09,1,5.0
2024-10-12,1,5.0
2024-10-19,1,5.0
2024-10-21,1,1.0
2024-10-26,1,1.0
2024-10-27,2,5.0
2024-10-30,1,3.0
2024-11-01,1,1.0
2024-11-03,1,2.0
2024-11-14,1,2.0
2024-11-15,1,1.0
2024-11-16,1,5.0
2024-11-19,1,1.0
2024-11-22,1,3.0
2024-12-10,1,1.0
2024-12-16,1,1.0
2024-12-17,1,5.0
2025-01-04,1,3.0
2025-01-08,1,1.0
2025-01-12,1,1.0
2025-01-13,1,5.0
2025-01-25,1,5.0
2025-01-30,1,5.0
2025-02-19,1,5.0
2025-02-28,1,3.0
2025-03-01,1,1.0
2025-03-07,1,2.0
2025-03-09,1,5.0
2025-03-11,1,5.0
2025-03-12,1,5.0
2025-03-13,1,5.0
2025-03-15,1,5.0
2025-03-17,1,1.0
2025-03-21,1,5.0
2025-03-24,1,1.0
2025-03-25,2,1.0
2025-03-27,1,5.0
2025-04-06,1,4.0
2025-04-10,1,5.0
2025-04-13,1,5.0
2025-04-14,1,5.0
2025-04-17,3,5.0
2025-04-19,1,4.0
2025-04-24,1,1.0
2025-05-02,1,1.0
2025-05-03,4,4.5
2025-05-04,1,1.0
2025-05-05,1,1.0
2025-05-06,2,4.5
2025-05-07,1,1.0
2025-05-09,1,4.0
2025-05-10,1,5.0
2025-05-11,2,2.0
2025-05-12,4,1.5
2025-05-14,4,3.75
2025-05-15,1,5.0
2025-05-16,3,4.67
2025-05-17,1,5.0
2025-05-18,3,1.0
2025-05-19,2,3.0
2025-05-20,1,3.0
2025-05-22,1,5.0
2025-05-23,1,5.0
2025-05-24,1,1.0
2025-05-25,1,5.0
2025-05-27,1,4.0
2025-05-28,1,2.0
2025-05-31,1,5.0
2025-06-01,3,4.67
2025-06-02,1,5.0
2025-06-03,1,1.0
2025-06-07,1,3.0
2025-06-08,1,5.0
2025-06-09,1,1.0
2025-06-11,1,5.0
2025-06-12,1,5.0
2025-06-18,1,2.0
2025-06-21,1,5.0
2025-06-23,1,4.0
2025-06-24,1,5.0
2025-06-25,1,5.0
2025-06-28,2,5.0
2025-06-29,1,1.0
2025-06-30,1,4.0
2025-07-04,1,2.0
2025-07-08,2,4.5
2025-07-09,2,5.0
2025-07-10,1,5.0
2025-07-12,1,1.0
2025-07-14,1,1.0
2025-07-16,2,5.0
2025-07-17,1,5.0
2025-07-18,1,5.0
2025-07-25,1,5.0
2025-07-28,2,5.0
2025-07-29,3,5.0
2025-08-01,2,3.0
2025-08-03,1,2.0
2025-08-04,1,5.0
2025-08-05,1,5.0
2025-08-08,1,2.0
2025-08-10,2,5.0
2025-08-11,2,3.0
2025-08-13,1,5.0
2025-08-14,1,5.0
2025-08-15,1,5.0
2025-08-16,1,5.0
2025-08-17,1,1.0
2025-08-18,1,5.0
2025-08-19,1,5.0
2025-08-20,1,5.0
2025-08-22,2,3.0
2025-08-27,2,2.0
2025-08-28,1,5.0
2025-08-30,1,5.0
2025-09-03,1,5.0
2025-09-09,3,2.67
2025-09-11,1,5.0
2025-09-12,2,3.5
2025-09-13,2,5.0
2025-09-14,1,1.0
2025-09-15,3,3.0
2025-09-16,3,2.33
2025-09-18,1,1.0
2025-09-20,1,2.0
2025-09-23,1,5.0
2025-09-24,1,1.0
2025-09-25,2,5.0
2025-09-26,2,2.0
2025-09-27,3,4.0
2025-09-28,1,1.0
2025-09-30,2,3.5
2025-10-01,1,5.0
2025-10-02,4,2.25
2025-10-04,2,1.0
2025-10-05,2,5.0
2025-10-06,2,3.5
2025-10-07,1,5.0
2025-10-08,1,5.0
2025-10-09,4,3.5
2025-10-12,2,4.0
2025-10-13,2,4.5
2025-10-15,2,3.0
2025-10-16,1,1.0
2025-10-17,1,2.0
2025-10-18,2,5.0
2025-10-20,4,2.5
2025-10-21,1,2.0
2025-10-23,3,3.67
2025-10-24,2,2.5
2025-10-25,1,1.0
2025-10-27,2,5.0
2025-10-30,1,5.0
2025-11-02,4,4.75
2025-11-05,1,5.0
2025-11-06,2,5.0
2025-11-07,1,2.0
2025-11-10,2,3.5
2025-11-11,3,4.33
2025-11-12,3,3.33
2025-11-13,2,5.0
2025-11-15,1,5.0
2025-11-16,1,1.0
2025-11-17,4,2.75
2025-11-19,4,4.75
2025-11-20,1,1.0
2025-11-21,1,5.0
2025-11-22,1,5.0
2025-11-23,3,1.33
2025-11-24,1,5.0
2025-11-25,1,4.0
2025-11-26,1,3.0
2025-11-27,1,5.0
2025-11-28,1,1.0
2025-11-29,1,3.0
2025-11-30,2,5.0
2025-12-01,2,1.5
2025-12-02,3,2.67
2025-12-03,2,3.0
2025-12-04,1,5.0
2025-12-05,2,4.0
2025-12-06,3,1.33
2025-12-07,2,3.0
2025-12-08,3,4.67
2025-12-09,3,3.67
2025-12-10,2,5.0
2025-12-11,6,2.33
2025-12-12,4,3.75
2025-12-13,4,2.5
2025-12-14,1,1.0
2025-12-15,1,1.0
2025-12-16,1,1.0
2025-12-17,1,2.0
2025-12-18,4,2.75
2025-12-20,4,2.0
2025-12-22,2,3.0
2025-12-23,1,2.0
2025-12-24,1,5.0
2025-12-25,2,2.5
2025-12-26,1,5.0
2025-12-27,3,2.33
2025-12-28,4,2.5
2025-12-29,1,3.0
2025-12-30,1,5.0
2025-12-31,2,3.0
2026-01-01,2,1.0
2026-01-02,6,3.67
2026-01-04,5,4.4
2026-01-06,5,4.0
2026-01-07,3,3.67
2026-01-08,6,3.83
2026-01-09,7,3.29
2026-01-10,4,4.75
2026-01-11,6,2.33
2026-01-12,5,4.2
2026-01-13,6,4.17
2026-01-14,5,2.8
2026-01-15,10,3.4
2026-01-16,8,3.0
2026-01-17,3,5.0
2026-01-18,5,2.6
2026-01-19,6,4.83
2026-01-20,8,2.12
2026-01-21,11,3.18
2026-01-22,7,3.43
2026-01-23,10,3.0
2026-01-24,4,3.5
2026-01-25,8,3.5
2026-01-26,8,3.0
2026-01-27,10,4.1
2026-01-28,7,4.0
2026-01-29,10,3.2
2026-01-30,6,4.83
2026-01-31,8,3.38
2026-02-01,4,4.75
2026-02-02,6,4.33
2026-02-03,4,4.0
2026-02-04,9,4.11
2026-02-05,12,4.33
2026-02-06,12,2.5
2026-02-07,6,3.33
2026-02-08,7,3.43
2026-02-09,2,5.0
2026-02-10,10,3.8
2026-02-11,25,4.04
2026-02-12,26,3.96
2026-02-13,43,3.95
2026-02-14,41,4.1
2026-02-15,60,3.65
2026-02-16,55,3.91
2026-02-17,90,4.34
2026-02-18,86,4.28
2026-02-19,58,4.19
