date,daily_num_reviews,daily_avg_rating
2014-11-23,1,5.0
2014-12-06,1,1.0
2014-12-08,1,5.0
2014-12-16,1,5.0
2015-02-17,1,5.0
2015-03-03,1,5.0
2015-03-14,1,5.0
2015-04-23,1,1.0
2015-04-26,1,5.0
2015-05-07,1,4.0
2015-06-23,1,3.0
2015-07-31,1,2.0
2015-10-19,1,4.0
2015-10-29,1,1.0
2015-12-27,1,5.0
2016-01-27,1,1.0
2016-02-18,1,5.0
2016-03-30,1,1.0
2016-05-05,1,4.0
2016-05-19,1,5.0
2016-08-06,1,5.0
2017-01-08,1,1.0
2017-05-22,1,4.0
2017-05-24,1,4.0
2017-05-26,1,5.0
2017-06-04,1,4.0
2017-06-21,2,5.0
2017-06-25,1,4.0
2017-07-07,1,5.0
2017-08-05,1,1.0
2017-08-07,1,5.0
2017-08-09,1,5.0
2017-09-16,1,1.0
2017-11-18,1,4.0
2018-01-05,1,5.0
2018-01-30,1,5.0
2018-02-01,1,4.0
2018-03-06,1,3.0
2018-06-24,1,5.0
2018-06-29,1,5.0
2018-07-19,1,5.0
2018-07-26,1,4.0
2018-10-09,1,2.0
2018-11-28,1,5.0
2018-12-20,1,4.0
2018-12-28,1,5.0
2019-02-08,1,5.0
2019-03-29,1,5.0
2019-03-31,1,4.0
2019-04-18,1,5.0
2019-04-24,1,5.0
2019-08-17,1,5.0
2019-09-22,1,5.0
2019-10-13,1,5.0
2019-10-18,1,5.0
2019-11-24,1,5.0
2019-12-16,1,4.0
2020-01-06,1,3.0
2020-01-11,1,5.0
2020-01-15,1,5.0
2020-01-23,1,5.0
2020-02-10,1,5.0
2020-02-15,1,1.0
2020-04-11,1,5.0
2020-04-30,1,5.0
2020-05-13,1,5.0
2020-06-02,1,5.0
2020-06-06,1,3.0
2020-08-25,1,5.0
2020-08-31,1,2.0
2020-10-02,1,5.0
2020-10-17,1,4.0
2020-11-01,1,5.0
2020-11-23,1,5.0
2020-12-10,1,4.0
2020-12-13,1,5.0
2020-12-28,1,4.0
2021-01-02,1,5.0
2021-01-03,1,4.0
2021-02-12,1,4.0
2021-03-08,1,4.0
2021-04-30,1,4.0
2021-05-18,1,4.0
2021-05-31,1,5.0
2021-07-27,1,5.0
2021-09-18,1,5.0
2021-09-21,1,1.0
2021-12-27,1,3.0
2022-03-06,1,3.0
2022-04-27,1,5.0
2022-05-30,1,1.0
2022-10-11,1,5.0
2022-10-12,1,2.0
2022-10-27,1,1.0
2023-02-17,1,4.0
2023-05-16,1,5.0
2024-03-24,1,1.0
2024-04-24,1,5.0
2024-05-18,1,5.0
2024-08-18,1,5.0
2024-09-15,1,5.0
2024-09-21,1,1.0
2024-10-06,1,3.0
2024-10-25,1,5.0
2024-11-03,1,2.0
2024-11-12,1,5.0
2024-11-20,1,1.0
2024-11-24,2,3.0
2024-12-18,1,5.0
2024-12-26,1,5.0
2024-12-27,1,1.0
2024-12-31,1,5.0
2025-01-21,1,5.0
2025-01-28,1,1.0
2025-02-13,1,1.0
2025-02-23,1,5.0
2025-02-27,1,5.0
2025-02-28,1,5.0
2025-03-01,2,5.0
2025-03-06,1,5.0
2025-03-07,1,5.0
2025-03-09,2,5.0
2025-03-11,1,3.0
2025-03-13,2,5.0
2025-03-14,1,5.0
2025-03-17,1,5.0
2025-03-21,1,5.0
2025-03-22,1,5.0
2025-03-25,1,5.0
2025-03-26,1,2.0
2025-03-27,1,5.0
2025-03-28,1,4.0
2025-03-30,1,5.0
2025-04-04,2,5.0
2025-04-05,1,5.0
2025-04-06,1,3.0
2025-04-07,3,5.0
2025-04-08,4,5.0
2025-04-09,2,5.0
2025-04-10,1,5.0
2025-04-13,2,5.0
2025-04-16,1,1.0
2025-04-18,3,5.0
2025-04-25,1,5.0
2025-04-27,1,3.0
2025-04-29,1,5.0
2025-04-30,1,1.0
